order_no,created_at,amount,channel,sales_owner,invoice_required,reconcile_mismatch
SC908401,2026-07-28T12:41:00,2653.72,门店,吴倩,否,否
SC908402,2026-07-28T21:55:00,5406.53,商城,孙磊,是,否
SC908403,2026-07-28T13:47:00,8028.12,商城,吴倩,否,否
SC908404,2026-07-28T13:45:00,3176.97,门店,孙磊,否,否
SC908405,2026-07-28T10:21:00,2175.91,门店,吴倩,是,否
SC908406,2026-07-28T09:30:00,4439.73,商城,孙磊,否,否
SC908407,2026-07-28T14:59:00,1688.46,电话下单,吴倩,否,否
SC908408,2026-07-28T09:59:00,1027.74,电话下单,赵强,是,否
SC908409,2026-07-28T13:56:00,5715.7,电话下单,赵强,否,否
SC908410,2026-07-28T08:25:00,1416.63,商城,吴倩,否,是
SC908411,2026-07-28T16:04:00,8283.22,电话下单,吴倩,是,否
SC908412,2026-07-28T16:50:00,5308.8,电话下单,吴倩,是,否
SC908413,2026-07-28T17:42:00,2572.75,门店,吴倩,否,是
SC908414,2026-07-28T12:12:00,5159.25,商城,吴倩,否,是
SC908415,2026-07-28T10:11:00,5526.53,门店,赵强,是,否
SC908416,2026-07-28T19:09:00,2322.76,商城,赵强,否,否
SC908417,2026-07-28T10:48:00,6310.67,商城,吴倩,否,否
SC908418,2026-07-28T19:38:00,6428.84,商城,孙磊,是,否
SC908419,2026-07-28T13:58:00,2129.23,商城,吴倩,否,否
SC908420,2026-07-28T19:17:00,5913.55,商城,孙磊,否,否
SC908421,2026-07-28T21:01:00,1368.48,门店,孙磊,否,否
SC908422,2026-07-28T09:14:00,7309.68,门店,赵强,是,否
SC908423,2026-07-28T11:27:00,6265.22,商城,赵强,是,否
SC908424,2026-07-28T17:26:00,3852.51,商城,吴倩,否,否
SC908425,2026-07-28T09:37:00,8242.72,商城,吴倩,否,否
SC908426,2026-07-28T12:36:00,1184.41,门店,赵强,否,否
SC908427,2026-07-28T15:00:00,1949.93,门店,孙磊,是,否
SC908428,2026-07-28T18:49:00,747.72,商城,吴倩,否,否
SC908429,2026-07-28T11:09:00,7594.23,商城,孙磊,否,否
SC908430,2026-07-28T15:47:00,8003.6,商城,赵强,是,否
SC908431,2026-07-28T20:34:00,1681.11,门店,孙磊,是,否
SC908432,2026-07-28T17:32:00,3324.24,商城,吴倩,否,否
SC908433,2026-07-28T08:10:00,1817.03,商城,吴倩,是,否
SC908434,2026-07-28T13:18:00,3531.95,门店,孙磊,否,否
SC908435,2026-07-28T09:28:00,5906.79,门店,孙磊,否,否
SC908436,2026-07-28T21:59:00,5575.11,商城,吴倩,否,否
SC908437,2026-07-28T14:40:00,8439.1,电话下单,吴倩,是,否
SC908438,2026-07-28T09:46:00,1887.1,门店,吴倩,是,否
SC908439,2026-07-28T08:01:00,7891.1,门店,赵强,否,否
SC908440,2026-07-28T20:35:00,6702.02,商城,孙磊,是,否
SC908441,2026-07-28T18:06:00,5032.14,商城,孙磊,否,是
SC908442,2026-07-28T13:31:00,785.45,商城,赵强,是,否
SC908443,2026-07-28T14:19:00,1923.87,门店,孙磊,否,否
SC908444,2026-07-28T16:58:00,1547.88,商城,吴倩,否,否
SC908445,2026-07-29T09:05:00,4095.04,商城,孙磊,否,否
SC908446,2026-07-29T08:44:00,1796.99,门店,赵强,是,否
SC908447,2026-07-29T21:26:00,6302.33,门店,吴倩,否,否
SC908448,2026-07-29T18:04:00,1744.76,电话下单,孙磊,否,否
SC908449,2026-07-29T17:51:00,7177.54,门店,吴倩,否,否
SC908450,2026-07-29T13:10:00,6837.73,商城,吴倩,否,否
SC908451,2026-07-29T19:39:00,181.02,商城,赵强,是,否
SC908452,2026-07-29T13:55:00,8353.38,门店,赵强,否,否
SC908453,2026-07-29T11:06:00,2617.17,门店,吴倩,是,否
SC908454,2026-07-29T16:24:00,8318.44,商城,赵强,是,否
SC908455,2026-07-29T19:37:00,8172.79,门店,吴倩,是,否
SC908456,2026-07-29T16:01:00,5307.64,商城,吴倩,是,否
SC908457,2026-07-29T13:10:00,7287.26,门店,孙磊,否,否
SC908458,2026-07-29T09:48:00,6073.6,商城,吴倩,是,是
SC908459,2026-07-29T12:46:00,569.93,商城,赵强,是,否
SC908460,2026-07-29T16:03:00,131.36,门店,赵强,否,否
SC908461,2026-07-29T19:31:00,6572.03,商城,赵强,否,否
SC908462,2026-07-29T10:22:00,875.51,商城,孙磊,否,是
SC908463,2026-07-29T11:12:00,1349.48,门店,吴倩,否,否
SC908464,2026-07-29T19:20:00,2803.88,商城,赵强,是,否
SC908465,2026-07-29T13:23:00,1843.7,电话下单,孙磊,否,否
SC908466,2026-07-29T10:11:00,2398.33,商城,赵强,是,否
SC908467,2026-07-29T19:36:00,7855.65,商城,孙磊,否,否
SC908468,2026-07-29T08:41:00,6223.44,门店,吴倩,否,否
SC908469,2026-07-29T20:08:00,3284.84,门店,吴倩,是,否
SC908470,2026-07-29T21:32:00,2736.47,商城,吴倩,是,否
SC908471,2026-07-29T13:16:00,429.32,门店,吴倩,否,否
SC908472,2026-07-29T14:15:00,6745.22,商城,赵强,否,否
SC908473,2026-07-29T12:35:00,8116.87,电话下单,吴倩,是,否
SC908474,2026-07-29T16:00:00,7192.98,商城,吴倩,否,否
SC908475,2026-07-29T17:52:00,7970.32,商城,吴倩,是,否
SC908476,2026-07-29T19:20:00,1296.71,电话下单,吴倩,是,否
SC908477,2026-07-29T11:39:00,2716.88,门店,赵强,否,否
SC908478,2026-07-29T10:57:00,1493.99,商城,孙磊,否,否
SC908479,2026-07-29T13:25:00,8529.55,商城,孙磊,是,否
SC908480,2026-07-29T15:38:00,4982.9,商城,孙磊,否,否
SC908481,2026-07-29T21:25:00,8441.28,商城,赵强,是,否
SC908482,2026-07-29T21:22:00,2714.96,门店,赵强,否,否
SC908483,2026-07-29T13:54:00,1256.08,商城,吴倩,是,否
SC908484,2026-07-29T20:44:00,879.83,门店,吴倩,否,否
SC908485,2026-07-29T13:22:00,4796.55,商城,孙磊,否,否
SC908486,2026-07-29T19:00:00,686.35,商城,吴倩,否,否
SC908487,2026-07-29T13:39:00,492.03,商城,赵强,是,否
SC908488,2026-07-29T19:43:00,6421.33,门店,吴倩,否,否
SC908489,2026-07-29T15:08:00,842.33,商城,吴倩,否,是
SC908490,2026-07-29T09:36:00,1405.12,电话下单,赵强,否,是
SC908491,2026-07-29T10:28:00,8087.6,商城,孙磊,否,否
SC908492,2026-07-29T14:22:00,3357.84,门店,赵强,是,否
SC908493,2026-07-29T16:15:00,7129.08,门店,赵强,否,否
SC908494,2026-07-29T17:44:00,3982.38,门店,孙磊,否,否
SC908495,2026-07-29T10:16:00,8510.46,商城,吴倩,是,否
SC908496,2026-07-29T21:42:00,4984.48,门店,孙磊,否,否
SC908497,2026-07-29T21:41:00,3776.6,商城,赵强,是,否
SC908498,2026-07-29T12:44:00,8232.69,门店,吴倩,否,否
SC908499,2026-07-29T17:29:00,6262.36,门店,赵强,是,是
SC908500,2026-07-29T20:27:00,2484.67,门店,赵强,否,否
SC908501,2026-07-29T20:58:00,2203.14,门店,赵强,是,否
SC908502,2026-07-29T20:11:00,3649.47,商城,孙磊,否,否
SC908503,2026-07-29T12:16:00,2241.0,门店,孙磊,否,否
SC908504,2026-07-29T14:08:00,7984.43,商城,吴倩,是,否
SC908505,2026-07-29T13:15:00,3659.55,商城,吴倩,是,否
SC908506,2026-07-29T08:39:00,4210.73,门店,赵强,否,否
SC908507,2026-07-29T13:21:00,7589.68,门店,赵强,否,否
SC908508,2026-07-29T15:08:00,5892.82,门店,赵强,否,否
SC908509,2026-07-29T08:15:00,1106.77,商城,孙磊,是,是
SC908510,2026-07-29T21:56:00,147.96,商城,吴倩,是,否
SC908511,2026-07-29T18:03:00,1569.01,门店,孙磊,否,否
SC908512,2026-07-29T19:16:00,1915.76,门店,赵强,否,否
SC908513,2026-07-29T20:29:00,3459.3,商城,赵强,否,是
SC908514,2026-07-29T16:21:00,1131.64,商城,吴倩,否,否
SC908515,2026-07-29T19:23:00,7575.17,商城,赵强,否,否
SC908516,2026-07-29T13:52:00,8287.57,商城,赵强,否,否
SC908517,2026-07-29T08:44:00,6653.96,商城,吴倩,是,否
SC908518,2026-07-30T10:01:00,720.17,门店,赵强,是,否
SC908519,2026-07-30T08:20:00,6191.03,门店,孙磊,是,否
SC908520,2026-07-30T13:33:00,3160.72,商城,孙磊,是,否
SC908521,2026-07-30T19:37:00,4517.89,电话下单,孙磊,否,否
SC908522,2026-07-30T12:04:00,2728.17,门店,赵强,否,是
SC908523,2026-07-30T12:39:00,6948.21,商城,孙磊,是,否
SC908524,2026-07-30T14:28:00,8341.52,门店,孙磊,否,否
SC908525,2026-07-30T17:30:00,6329.97,门店,孙磊,否,否
SC908526,2026-07-30T15:39:00,4607.61,商城,孙磊,是,否
SC908527,2026-07-30T10:21:00,654.77,商城,孙磊,否,否
SC908528,2026-07-30T10:51:00,1936.6,商城,孙磊,是,否
SC908529,2026-07-30T20:18:00,4923.32,门店,吴倩,是,否
SC908530,2026-07-30T15:37:00,5482.77,门店,吴倩,是,否
SC908531,2026-07-30T17:14:00,8221.56,商城,赵强,是,否
SC908532,2026-07-30T09:22:00,5307.35,电话下单,吴倩,否,否
SC908533,2026-07-30T10:10:00,3328.76,商城,吴倩,否,否
SC908534,2026-07-30T20:35:00,7587.23,商城,吴倩,否,否
SC908535,2026-07-30T10:55:00,4576.88,电话下单,孙磊,否,否
SC908536,2026-07-30T18:54:00,1949.36,门店,赵强,否,是
SC908537,2026-07-30T15:58:00,4876.89,门店,赵强,否,否
SC908538,2026-07-30T14:30:00,5482.71,商城,吴倩,是,是
SC908539,2026-07-30T19:53:00,7702.56,门店,吴倩,否,是
SC908540,2026-07-30T16:45:00,2946.09,门店,吴倩,否,否
SC908541,2026-07-30T21:07:00,4581.58,商城,吴倩,否,否
SC908542,2026-07-30T17:30:00,5092.46,商城,赵强,是,是
SC908543,2026-07-30T17:15:00,3577.24,商城,吴倩,否,否
SC908544,2026-07-30T09:27:00,283.26,商城,孙磊,否,否
SC908545,2026-07-30T15:46:00,7776.99,门店,孙磊,是,否
SC908546,2026-07-30T13:01:00,2848.46,门店,吴倩,否,否
SC908547,2026-07-30T10:57:00,1939.54,门店,吴倩,否,否
SC908548,2026-07-30T21:25:00,4550.14,电话下单,吴倩,否,否
SC908549,2026-07-30T13:46:00,577.05,商城,赵强,否,否
SC908550,2026-07-30T21:36:00,5233.98,电话下单,赵强,是,否
SC908551,2026-07-30T11:29:00,5349.25,商城,吴倩,否,否
SC908552,2026-07-30T15:25:00,5664.99,门店,孙磊,是,是
SC908553,2026-07-30T18:16:00,4911.1,商城,孙磊,是,是
SC908554,2026-07-30T08:34:00,6000.99,商城,孙磊,是,否
SC908555,2026-07-30T08:37:00,6303.85,商城,吴倩,是,否
SC908556,2026-07-30T11:18:00,2968.04,商城,孙磊,是,否
SC908557,2026-07-30T19:28:00,375.13,门店,孙磊,是,否
SC908558,2026-07-30T21:31:00,7629.92,商城,孙磊,是,否
SC908559,2026-07-30T17:51:00,3138.19,商城,吴倩,否,否
SC908560,2026-07-30T20:42:00,1404.97,商城,吴倩,是,否
SC908561,2026-07-30T16:01:00,430.0,商城,赵强,是,否
SC908562,2026-07-30T11:30:00,2928.78,商城,吴倩,否,否
SC908563,2026-07-30T18:16:00,5433.86,电话下单,孙磊,否,否
SC908564,2026-07-30T14:27:00,8330.53,商城,吴倩,否,否
SC908565,2026-07-30T15:22:00,228.28,电话下单,吴倩,否,否
SC908566,2026-07-30T17:17:00,4368.92,电话下单,孙磊,否,否
SC908567,2026-07-30T10:57:00,5911.14,门店,吴倩,是,否
SC908568,2026-07-30T08:37:00,603.48,电话下单,赵强,否,否
SC908569,2026-07-30T14:09:00,2491.09,商城,赵强,否,否
SC908570,2026-07-30T17:03:00,2365.68,门店,吴倩,否,否
SC908571,2026-07-30T19:00:00,8236.64,门店,孙磊,否,否
SC908572,2026-07-30T18:12:00,3873.61,门店,赵强,是,否
SC908573,2026-07-30T19:08:00,8202.61,商城,吴倩,否,否
SC908574,2026-07-30T09:39:00,8588.72,门店,赵强,否,否
SC908575,2026-07-30T16:41:00,5359.88,门店,吴倩,是,是
SC908576,2026-07-30T14:37:00,5003.97,门店,赵强,是,否
SC908577,2026-07-30T10:06:00,6424.38,商城,吴倩,否,是
SC908578,2026-07-30T17:38:00,2273.85,电话下单,吴倩,否,否
SC908579,2026-07-30T08:51:00,5263.7,商城,赵强,是,否
SC908580,2026-07-30T10:22:00,4143.92,商城,孙磊,否,否
SC908581,2026-07-30T16:25:00,5982.21,商城,吴倩,是,是
SC908582,2026-07-30T10:02:00,3620.28,商城,赵强,是,否
SC908583,2026-07-30T11:54:00,5257.99,商城,孙磊,否,否
SC908584,2026-07-30T09:55:00,3657.08,商城,吴倩,否,否
SC908585,2026-07-30T08:10:00,7415.36,电话下单,吴倩,是,否
SC908586,2026-07-30T14:24:00,8128.17,商城,孙磊,否,是
SC908587,2026-07-30T17:40:00,4629.13,商城,吴倩,是,否
SC908588,2026-07-30T19:50:00,1586.52,门店,孙磊,否,否
SC908589,2026-07-30T11:00:00,2199.75,门店,吴倩,是,否
SC908590,2026-07-30T18:11:00,2278.99,门店,赵强,否,否
SC908591,2026-07-30T19:53:00,2334.1,商城,吴倩,是,是
SC908592,2026-07-31T21:35:00,6140.98,商城,孙磊,是,是
SC908593,2026-07-31T17:43:00,4086.15,商城,吴倩,否,否
SC908594,2026-07-31T17:29:00,2088.75,商城,吴倩,是,否
SC908595,2026-07-31T13:58:00,3758.31,商城,吴倩,是,否
SC908596,2026-07-31T18:36:00,6581.07,商城,赵强,是,否
SC908597,2026-07-31T19:48:00,650.82,商城,赵强,否,否
SC908598,2026-07-31T17:39:00,6553.89,门店,吴倩,否,否
SC908599,2026-07-31T08:05:00,5980.88,电话下单,吴倩,是,否
SC908600,2026-07-31T08:57:00,5604.47,电话下单,吴倩,是,否
SC908601,2026-07-31T13:27:00,569.28,商城,吴倩,否,否
SC908602,2026-07-31T21:10:00,5172.17,门店,孙磊,否,否
SC908603,2026-07-31T15:47:00,5439.49,商城,吴倩,否,是
SC908604,2026-07-31T20:36:00,2497.86,门店,赵强,是,否
SC908605,2026-07-31T16:05:00,1679.44,门店,孙磊,是,否
SC908606,2026-07-31T20:03:00,2229.25,门店,吴倩,否,否
SC908607,2026-07-31T11:13:00,3616.07,门店,孙磊,否,否
SC908608,2026-07-31T19:02:00,889.01,商城,吴倩,否,否
SC908609,2026-07-31T14:36:00,1903.18,商城,孙磊,否,否
SC908610,2026-07-31T14:21:00,6076.49,商城,赵强,否,否
SC908611,2026-07-31T12:43:00,415.98,商城,孙磊,是,否
SC908612,2026-07-31T09:57:00,6978.81,门店,赵强,是,否
SC908613,2026-07-31T19:16:00,8438.14,商城,孙磊,是,否
SC908614,2026-07-31T16:18:00,5412.99,门店,孙磊,是,否
SC908615,2026-07-31T21:28:00,3633.78,商城,赵强,否,是
SC908616,2026-07-31T10:30:00,6973.34,商城,孙磊,否,是
SC908617,2026-07-31T09:05:00,3483.1,门店,孙磊,是,否
SC908618,2026-07-31T14:24:00,8187.31,电话下单,孙磊,是,否
SC908619,2026-07-31T16:03:00,2655.56,门店,赵强,是,是
SC908620,2026-07-31T15:42:00,2896.33,商城,孙磊,否,否
SC908621,2026-07-31T13:50:00,963.15,商城,吴倩,否,否
SC908622,2026-07-31T09:32:00,6839.68,商城,吴倩,否,否
SC908623,2026-07-31T20:38:00,6696.36,商城,吴倩,是,否
SC908624,2026-07-31T11:05:00,7441.3,门店,赵强,是,否
SC908625,2026-07-31T19:13:00,3363.75,商城,吴倩,是,否
SC908626,2026-07-31T16:02:00,3112.16,门店,吴倩,是,否
SC908627,2026-07-31T11:48:00,3803.59,商城,吴倩,是,否
SC908628,2026-07-31T17:49:00,5196.99,商城,吴倩,是,是
SC908629,2026-07-31T14:13:00,5778.85,门店,吴倩,是,是
SC908630,2026-07-31T16:58:00,3810.16,商城,吴倩,是,否
SC908631,2026-07-31T16:21:00,8599.95,商城,孙磊,是,否
SC908632,2026-07-31T19:52:00,3054.11,商城,孙磊,否,否
SC908633,2026-07-31T16:00:00,3417.47,商城,吴倩,否,否
SC908634,2026-07-31T11:59:00,5865.22,电话下单,赵强,否,否
SC908635,2026-07-31T08:38:00,2278.12,商城,孙磊,否,否
SC908636,2026-07-31T10:22:00,4952.46,商城,赵强,否,否
SC908637,2026-07-31T17:23:00,1766.16,电话下单,吴倩,是,否
SC908638,2026-07-31T13:40:00,271.75,电话下单,孙磊,是,否
SC908639,2026-07-31T20:23:00,4562.58,门店,赵强,是,否
SC908640,2026-07-31T14:38:00,1049.41,门店,孙磊,否,否
SC908641,2026-07-31T18:56:00,7831.19,商城,赵强,是,否
SC908642,2026-07-31T14:47:00,2754.15,商城,赵强,是,否
SC908643,2026-07-31T21:05:00,4780.94,门店,赵强,是,否
SC908644,2026-07-31T16:07:00,3282.93,门店,孙磊,是,否
SC908645,2026-07-31T21:07:00,2889.01,门店,赵强,是,否
SC908646,2026-07-31T14:37:00,5102.85,电话下单,赵强,是,是
SC908647,2026-07-31T19:23:00,6219.02,商城,吴倩,否,否
SC908648,2026-07-31T13:19:00,8175.48,商城,赵强,是,否
SC908649,2026-07-31T10:33:00,6001.54,商城,吴倩,是,否
SC908650,2026-07-31T17:37:00,4742.41,门店,孙磊,否,否
SC908651,2026-07-31T08:01:00,2575.26,门店,吴倩,否,否
SC908652,2026-07-31T18:43:00,3087.15,商城,吴倩,是,否
SC908653,2026-07-31T21:40:00,8194.86,商城,赵强,是,否
SC908654,2026-07-31T09:48:00,6014.78,商城,孙磊,否,否
SC908655,2026-07-31T14:00:00,8360.68,商城,赵强,是,否
SC908656,2026-07-31T14:37:00,4590.75,商城,赵强,是,否
SC908657,2026-07-31T14:55:00,3027.54,商城,孙磊,是,否
SC908658,2026-07-31T12:51:00,214.6,电话下单,吴倩,否,否
SC908659,2026-07-31T20:55:00,8514.58,门店,孙磊,是,否
SC908660,2026-07-31T15:59:00,8378.53,门店,赵强,否,否
SC908661,2026-07-31T17:38:00,2917.59,商城,赵强,否,否
SC908662,2026-08-03T18:13:00,3127.39,门店,吴倩,是,否
SC908663,2026-08-03T08:33:00,5887.6,商城,孙磊,是,否
SC908664,2026-08-03T12:49:00,2937.82,商城,吴倩,否,否
SC908665,2026-08-03T20:00:00,2337.15,商城,孙磊,否,否
SC908666,2026-08-03T17:58:00,6720.73,商城,吴倩,否,否
SC908667,2026-08-03T19:06:00,1054.23,商城,孙磊,是,否
SC908668,2026-08-03T08:04:00,6986.22,商城,孙磊,是,否
SC908669,2026-08-03T20:47:00,929.34,商城,赵强,是,是
SC908670,2026-08-03T09:06:00,3290.07,商城,吴倩,是,否
SC908671,2026-08-03T17:09:00,1508.52,商城,孙磊,是,否
SC908672,2026-08-03T10:19:00,6877.91,商城,吴倩,否,否
SC908673,2026-08-03T15:59:00,8068.18,商城,吴倩,否,否
SC908674,2026-08-03T10:39:00,410.09,门店,吴倩,否,否
SC908675,2026-08-03T13:21:00,6514.35,门店,吴倩,否,否
SC908676,2026-08-03T16:48:00,6950.97,门店,孙磊,否,否
SC908677,2026-08-03T14:28:00,4244.19,门店,孙磊,是,否
SC908678,2026-08-03T20:13:00,1864.66,电话下单,吴倩,是,否
SC908679,2026-08-03T16:38:00,1560.2,商城,赵强,否,否
SC908680,2026-08-03T10:41:00,6136.6,门店,孙磊,是,否
SC908681,2026-08-03T16:09:00,7379.57,商城,赵强,是,否
SC908682,2026-08-03T12:36:00,4905.38,商城,吴倩,是,否
SC908683,2026-08-03T19:20:00,5279.88,商城,孙磊,否,是
SC908684,2026-08-03T15:44:00,3681.84,商城,孙磊,是,否
SC908685,2026-08-03T13:01:00,5466.43,门店,赵强,是,否
SC908686,2026-08-03T18:13:00,7789.0,商城,吴倩,是,否
SC908687,2026-08-03T13:43:00,7355.64,商城,孙磊,是,否
SC908688,2026-08-03T11:48:00,2203.1,商城,赵强,是,否
SC908689,2026-08-03T10:43:00,2062.67,商城,吴倩,是,否
SC908690,2026-08-03T10:04:00,6142.95,门店,吴倩,否,否
SC908691,2026-08-03T10:20:00,1009.53,门店,赵强,否,否
SC908692,2026-08-03T19:51:00,6002.26,商城,赵强,否,否
SC908693,2026-08-03T14:30:00,2472.93,门店,赵强,否,否
SC908694,2026-08-03T16:03:00,683.64,商城,赵强,是,否
SC908695,2026-08-03T14:12:00,1297.55,商城,孙磊,是,否
SC908696,2026-08-03T10:32:00,4019.35,商城,赵强,是,否
SC908697,2026-08-03T13:51:00,2707.05,门店,赵强,否,否
SC908698,2026-08-03T09:02:00,6432.52,门店,赵强,是,否
SC908699,2026-08-03T12:16:00,5696.62,商城,吴倩,是,否
SC908700,2026-08-03T09:01:00,3212.19,商城,孙磊,否,否
SC908701,2026-08-03T08:40:00,7386.75,商城,吴倩,是,否
SC908702,2026-08-03T12:42:00,7106.64,商城,赵强,是,否
SC908703,2026-08-03T14:10:00,7707.42,门店,赵强,是,否
SC908704,2026-08-03T21:37:00,2314.61,商城,孙磊,是,否
SC908705,2026-08-03T13:09:00,647.45,电话下单,孙磊,否,否
SC908706,2026-08-03T17:39:00,7078.45,门店,孙磊,否,否
SC908707,2026-08-03T21:54:00,5149.28,商城,吴倩,否,否
SC908708,2026-08-03T16:56:00,376.73,商城,赵强,否,否
SC908709,2026-08-03T18:59:00,6644.37,商城,赵强,是,否
SC908710,2026-08-03T10:23:00,7994.3,商城,孙磊,否,否
SC908711,2026-08-03T19:41:00,260.41,电话下单,赵强,否,否
SC908712,2026-08-03T16:03:00,670.31,门店,吴倩,否,否
SC908713,2026-08-03T18:35:00,6245.15,商城,孙磊,否,否
SC908714,2026-08-03T17:58:00,7271.86,商城,吴倩,否,否
SC908715,2026-08-03T09:44:00,3025.53,商城,孙磊,是,否
SC908716,2026-08-03T10:48:00,2002.94,商城,吴倩,否,否
SC908717,2026-08-03T19:07:00,3734.46,商城,吴倩,是,否
SC908718,2026-08-03T17:46:00,6041.72,门店,赵强,是,否
SC908719,2026-08-03T16:46:00,2732.74,门店,赵强,是,是
SC908720,2026-08-04T09:30:00,7045.28,门店,吴倩,否,是
SC908721,2026-08-04T10:08:00,2118.29,商城,吴倩,是,否
SC908722,2026-08-04T09:28:00,1367.85,商城,赵强,是,是
SC908723,2026-08-04T12:21:00,6180.53,门店,赵强,否,否
SC908724,2026-08-04T18:24:00,8100.6,商城,孙磊,否,否
SC908725,2026-08-04T11:32:00,828.18,门店,吴倩,是,否
SC908726,2026-08-04T13:17:00,8045.68,商城,孙磊,否,否
SC908727,2026-08-04T08:39:00,2578.91,商城,吴倩,否,否
SC908728,2026-08-04T16:44:00,212.66,电话下单,吴倩,否,否
SC908729,2026-08-04T12:08:00,7615.39,商城,孙磊,是,否
SC908730,2026-08-04T10:38:00,4588.45,电话下单,吴倩,否,否
SC908731,2026-08-04T09:14:00,7591.22,商城,吴倩,否,否
SC908732,2026-08-04T20:32:00,1271.14,门店,孙磊,否,否
SC908733,2026-08-04T15:09:00,3352.58,商城,吴倩,否,否
SC908734,2026-08-04T17:23:00,6044.5,门店,赵强,否,是
SC908735,2026-08-04T21:16:00,6497.19,电话下单,吴倩,否,否
SC908736,2026-08-04T16:21:00,7521.32,商城,吴倩,是,否
SC908737,2026-08-04T08:53:00,5971.84,商城,赵强,是,否
SC908738,2026-08-04T08:57:00,989.7,商城,吴倩,是,否
SC908739,2026-08-04T20:31:00,7356.29,电话下单,吴倩,否,否
SC908740,2026-08-04T18:45:00,2227.27,商城,孙磊,是,否
SC908741,2026-08-04T15:38:00,8317.66,商城,吴倩,否,否
SC908742,2026-08-04T20:21:00,1077.54,门店,孙磊,否,否
SC908743,2026-08-04T08:21:00,5552.13,门店,赵强,是,否
SC908744,2026-08-04T12:01:00,1204.02,门店,吴倩,是,否
SC908745,2026-08-04T15:06:00,3637.3,商城,吴倩,否,是
SC908746,2026-08-04T13:51:00,2270.79,商城,孙磊,否,否
SC908747,2026-08-04T12:51:00,398.61,商城,孙磊,否,否
SC908748,2026-08-04T20:52:00,5386.46,商城,孙磊,否,否
SC908749,2026-08-04T10:03:00,1122.99,商城,赵强,是,否
SC908750,2026-08-04T18:07:00,2953.02,商城,赵强,是,否
SC908751,2026-08-04T09:16:00,4380.31,商城,吴倩,否,否
SC908752,2026-08-04T21:39:00,1374.07,商城,吴倩,否,否
SC908753,2026-08-04T12:42:00,8394.58,门店,吴倩,否,否
SC908754,2026-08-04T10:28:00,4845.3,商城,吴倩,否,否
SC908755,2026-08-04T20:13:00,6577.76,门店,赵强,否,否
SC908756,2026-08-04T16:00:00,3328.16,门店,赵强,否,是
SC908757,2026-08-04T16:04:00,976.56,商城,赵强,否,否
SC908758,2026-08-04T16:34:00,6614.07,门店,吴倩,否,是
SC908759,2026-08-04T11:06:00,3434.75,电话下单,赵强,否,否
SC908760,2026-08-04T15:55:00,4360.79,电话下单,吴倩,否,否
SC908761,2026-08-04T12:27:00,6246.13,门店,孙磊,否,否
SC908762,2026-08-04T21:05:00,273.27,商城,孙磊,否,否
SC908763,2026-08-04T12:21:00,967.7,商城,赵强,否,否
SC908764,2026-08-04T10:34:00,3645.39,商城,赵强,否,否
SC908765,2026-08-04T16:28:00,5262.93,商城,吴倩,否,否
SC908766,2026-08-04T19:08:00,8543.67,商城,赵强,否,否
SC908767,2026-08-04T16:48:00,6159.34,门店,孙磊,是,否
SC908768,2026-08-04T20:07:00,2108.8,商城,赵强,是,否
SC908769,2026-08-04T10:25:00,2427.26,商城,赵强,否,否
SC908770,2026-08-04T12:54:00,2067.21,门店,孙磊,是,否
SC908771,2026-08-04T20:55:00,5304.73,门店,吴倩,否,否
SC908772,2026-08-04T19:46:00,7587.9,电话下单,孙磊,否,否
SC908773,2026-08-04T17:33:00,1599.03,商城,赵强,否,否
SC908774,2026-08-04T14:35:00,1707.04,商城,赵强,是,否
SC908775,2026-08-04T09:44:00,8034.1,商城,赵强,否,否
SC908776,2026-08-04T15:44:00,2182.42,商城,吴倩,是,否
SC908777,2026-08-04T20:49:00,5074.34,门店,吴倩,否,否
SC908778,2026-08-04T20:47:00,4914.01,商城,孙磊,是,否
SC908779,2026-08-04T11:14:00,7493.3,商城,赵强,否,否
SC908780,2026-08-04T11:24:00,8030.09,门店,赵强,是,否
SC908781,2026-08-04T10:06:00,3857.17,商城,吴倩,否,否
SC908782,2026-08-04T14:25:00,7022.38,商城,孙磊,是,否
SC908783,2026-08-05T10:55:00,8555.35,商城,孙磊,是,否
SC908784,2026-08-05T20:50:00,2506.68,商城,吴倩,是,否
SC908785,2026-08-05T14:23:00,817.55,商城,孙磊,否,否
SC908786,2026-08-05T15:49:00,6121.79,商城,赵强,否,否
SC908787,2026-08-05T11:04:00,5026.95,门店,孙磊,否,否
SC908788,2026-08-05T16:15:00,3038.79,商城,吴倩,是,否
SC908789,2026-08-05T20:01:00,6119.62,商城,赵强,否,否
SC908790,2026-08-05T14:38:00,1091.59,商城,赵强,否,否
SC908791,2026-08-05T12:23:00,6044.76,商城,吴倩,是,否
SC908792,2026-08-05T08:01:00,6878.28,门店,赵强,是,是
SC908793,2026-08-05T13:57:00,6852.32,商城,孙磊,否,否
SC908794,2026-08-05T13:26:00,5559.95,商城,孙磊,是,否
SC908795,2026-08-05T16:08:00,3106.37,商城,赵强,否,否
SC908796,2026-08-05T12:43:00,265.4,商城,赵强,否,是
SC908797,2026-08-05T10:57:00,1232.15,商城,吴倩,是,否
SC908798,2026-08-05T09:32:00,3546.15,门店,赵强,否,否
SC908799,2026-08-05T16:51:00,7001.08,门店,吴倩,是,是
SC908800,2026-08-05T09:15:00,2527.81,商城,吴倩,否,否
SC908801,2026-08-05T16:04:00,4999.26,门店,孙磊,否,否
